projectName,pullRequestId,sourceFiles,defs,uses,diffs,totalPartitions,nonTrivialPartitions,trivialPartitions
dropwizard/dropwizard,138,1,178,198,5,5,0,5
dropwizard/dropwizard,359,4,47,47,16,6,2,4
dropwizard/dropwizard,713,1,13,8,1,1,0,1
dropwizard/dropwizard,1014,1,43,4,23,21,1,20
dropwizard/dropwizard,103,3,83,133,25,10,1,9
dropwizard/dropwizard,1031,1,36,58,0,0,0,0
dropwizard/dropwizard,104,4,149,278,17,13,1,12
dropwizard/dropwizard,1044,2,150,211,65,3,1,2
dropwizard/dropwizard,1061,4,296,550,23,12,2,10
dropwizard/dropwizard,1067,2,102,159,5,5,0,5
dropwizard/dropwizard,107,3,106,179,17,6,1,5
dropwizard/dropwizard,1075,3,34,34,3,3,0,3
dropwizard/dropwizard,1079,1,36,53,4,1,1,0
dropwizard/dropwizard,1092,3,56,78,36,21,2,19
dropwizard/dropwizard,112,1,21,32,1,1,0,1
dropwizard/dropwizard,113,7,88,83,54,31,2,29
dropwizard/dropwizard,114,2,84,108,4,4,0,4
dropwizard/dropwizard,1151,3,56,78,36,21,2,19
dropwizard/dropwizard,124,2,28,60,6,2,1,1
dropwizard/dropwizard,127,1,15,19,5,2,1,1
dropwizard/dropwizard,130,2,153,268,10,8,1,7
dropwizard/dropwizard,131,2,54,178,5,4,1,3
dropwizard/dropwizard,132,1,76,92,2,1,1,0
dropwizard/dropwizard,133,2,130,269,11,3,1,2
dropwizard/dropwizard,137,1,20,29,6,2,1,1
dropwizard/dropwizard,396,4,47,70,17,6,2,4
dropwizard/dropwizard,400,1,13,6,2,2,0,2
dropwizard/dropwizard,401,1,4,3,1,1,0,1
dropwizard/dropwizard,415,2,67,112,6,4,0,4
dropwizard/dropwizard,419,3,44,51,9,8,1,7
dropwizard/dropwizard,443,3,70,381,43,7,1,6
dropwizard/dropwizard,453,6,281,465,18,13,1,12
dropwizard/dropwizard,456,2,108,215,42,15,1,14
dropwizard/dropwizard,467,4,208,308,16,7,1,6
dropwizard/dropwizard,473,5,146,243,28,10,1,9
dropwizard/dropwizard,486,1,143,172,4,1,1,0
dropwizard/dropwizard,495,3,55,69,6,6,0,6
dropwizard/dropwizard,516,1,1,0,1,1,0,1
dropwizard/dropwizard,537,1,50,75,2,1,0,1
dropwizard/dropwizard,540,3,153,242,16,11,1,10
dropwizard/dropwizard,542,4,64,73,15,8,1,7
dropwizard/dropwizard,546,8,94,86,54,29,9,20
dropwizard/dropwizard,551,2,13,11,5,5,0,5
dropwizard/dropwizard,569,4,118,240,17,7,2,5
dropwizard/dropwizard,588,5,114,167,27,16,1,15
dropwizard/dropwizard,607,1,4,2,2,2,0,2
dropwizard/dropwizard,62,2,25,27,12,8,1,7
dropwizard/dropwizard,634,1,94,82,12,4,1,3
dropwizard/dropwizard,663,1,15,9,2,2,0,2
dropwizard/dropwizard,675,1,13,9,0,0,0,0
dropwizard/dropwizard,677,5,108,161,32,17,1,16
dropwizard/dropwizard,679,1,53,66,1,1,0,1
dropwizard/dropwizard,68,1,22,23,2,1,1,0
dropwizard/dropwizard,688,3,31,40,14,6,2,4
dropwizard/dropwizard,725,1,9,2,1,1,0,1
dropwizard/dropwizard,730,2,25,26,6,3,1,2
dropwizard/dropwizard,751,1,46,68,8,8,0,8
dropwizard/dropwizard,756,3,63,49,8,7,1,6
dropwizard/dropwizard,757,2,67,1264,5,4,1,3
dropwizard/dropwizard,759,3,126,208,8,3,1,2
dropwizard/dropwizard,761,2,73,106,6,3,1,2
dropwizard/dropwizard,764,2,83,135,17,13,1,12
dropwizard/dropwizard,79,5,162,353,31,8,3,5
dropwizard/dropwizard,790,1,5,3,3,3,0,3
dropwizard/dropwizard,809,1,55,75,5,3,1,2
dropwizard/dropwizard,834,2,40,54,12,5,1,4
dropwizard/dropwizard,847,1,12,6,0,0,0,0
dropwizard/dropwizard,848,4,220,365,15,9,1,8
dropwizard/dropwizard,851,1,30,32,1,1,0,1
dropwizard/dropwizard,854,4,170,257,16,10,1,9
dropwizard/dropwizard,866,2,129,262,11,7,2,5
dropwizard/dropwizard,942,1,4,5,2,1,0,1
dropwizard/dropwizard,948,3,71,78,14,11,1,10
dropwizard/dropwizard,98,12,289,265,80,72,3,69
dropwizard/dropwizard,982,2,21,10,3,3,0,3
dropwizard/dropwizard,985,1,37,49,1,1,0,1
dropwizard/dropwizard,993,4,28,21,20,16,1,15
dropwizard/dropwizard,996,40,748,741,99,46,1,45
dropwizard/dropwizard,141,4,100,148,13,6,1,5
dropwizard/dropwizard,143,2,55,178,3,2,1,1
dropwizard/dropwizard,151,2,33,40,13,12,1,11
dropwizard/dropwizard,172,1,33,39,1,1,0,1
dropwizard/dropwizard,185,1,20,23,7,4,1,3
dropwizard/dropwizard,188,4,50,68,9,9,0,9
dropwizard/dropwizard,193,1,23,26,3,2,0,2
dropwizard/dropwizard,196,3,37,36,11,3,2,1
dropwizard/dropwizard,200,2,74,217,8,3,1,2
dropwizard/dropwizard,201,9,250,426,27,12,2,10
dropwizard/dropwizard,216,2,114,318,27,11,3,8
dropwizard/dropwizard,22,1,12,6,6,6,0,6
dropwizard/dropwizard,222,2,16,12,9,7,1,6
dropwizard/dropwizard,225,1,21,37,4,4,0,4
dropwizard/dropwizard,233,2,23,27,3,3,0,3
dropwizard/dropwizard,242,1,17,8,1,1,0,1
dropwizard/dropwizard,25,2,32,57,6,2,1,1
dropwizard/dropwizard,257,1,5,0,2,2,0,2
dropwizard/dropwizard,290,1,146,285,3,1,1,0
dropwizard/dropwizard,294,11,169,139,38,30,2,28
dropwizard/dropwizard,30,2,36,40,8,8,0,8
dropwizard/dropwizard,343,1,59,115,5,3,1,2
dropwizard/metrics,246,2,81,173,23,4,2,2
dropwizard/metrics,507,1,47,155,1,1,0,1
dropwizard/metrics,102,2,48,124,9,3,1,2
dropwizard/metrics,103,4,329,729,42,9,1,8
dropwizard/metrics,109,4,221,269,8,7,1,6
dropwizard/metrics,111,1,136,393,1,1,0,1
dropwizard/metrics,112,1,124,133,3,1,1,0
dropwizard/metrics,115,1,6,4,3,2,1,1
dropwizard/metrics,117,1,9,1,7,6,0,6
dropwizard/metrics,118,1,122,341,2,1,1,0
dropwizard/metrics,124,1,44,79,1,1,0,1
dropwizard/metrics,130,1,43,30,1,1,0,1
dropwizard/metrics,135,11,210,371,78,26,2,24
dropwizard/metrics,139,1,44,79,3,1,0,1
dropwizard/metrics,14,1,9,11,3,2,1,1
dropwizard/metrics,148,4,136,254,34,7,1,6
dropwizard/metrics,16,2,135,242,13,4,1,3
dropwizard/metrics,189,6,134,207,24,12,6,6
dropwizard/metrics,191,7,240,320,11,4,2,2
dropwizard/metrics,202,3,158,142,9,6,1,5
dropwizard/metrics,203,1,148,138,4,2,0,2
dropwizard/metrics,205,7,94,110,31,19,4,15
dropwizard/metrics,217,2,12,16,4,3,1,2
dropwizard/metrics,226,3,86,124,25,7,2,5
dropwizard/metrics,228,2,54,81,14,5,2,3
dropwizard/metrics,237,3,57,65,6,6,0,6
dropwizard/metrics,241,2,61,174,2,2,0,2
dropwizard/metrics,523,2,21,18,4,2,1,1
dropwizard/metrics,53,2,176,502,5,2,1,1
dropwizard/metrics,540,2,280,353,6,6,0,6
dropwizard/metrics,545,1,44,67,6,1,1,0
dropwizard/metrics,549,2,285,377,21,6,1,5
dropwizard/metrics,550,1,111,276,1,1,0,1
dropwizard/metrics,554,7,251,761,53,21,3,18
dropwizard/metrics,557,1,32,51,5,2,1,1
dropwizard/metrics,560,1,15,21,14,5,1,4
dropwizard/metrics,57,1,80,159,3,1,0,1
dropwizard/metrics,583,1,49,61,2,2,0,2
dropwizard/metrics,597,2,137,565,8,3,1,2
dropwizard/metrics,599,1,246,281,3,1,0,1
dropwizard/metrics,604,1,114,158,33,9,2,7
dropwizard/metrics,616,1,35,41,2,2,0,2
dropwizard/metrics,617,1,86,268,8,3,2,1
dropwizard/metrics,62,5,340,388,44,12,2,10
dropwizard/metrics,623,1,24,37,2,2,0,2
dropwizard/metrics,625,1,36,86,2,1,1,0
dropwizard/metrics,647,1,251,286,1,1,0,1
dropwizard/metrics,65,4,175,466,27,7,2,5
dropwizard/metrics,654,6,119,159,16,16,0,16
dropwizard/metrics,659,4,136,403,24,6,3,3
dropwizard/metrics,66,1,118,307,11,1,1,0
dropwizard/metrics,685,2,129,282,38,6,1,5
dropwizard/metrics,69,1,60,111,1,1,0,1
dropwizard/metrics,696,2,134,576,11,3,2,1
dropwizard/metrics,705,3,43,41,16,8,2,6
dropwizard/metrics,707,8,213,677,54,18,1,17
dropwizard/metrics,718,3,151,259,11,8,3,5
dropwizard/metrics,72,2,160,420,2,2,0,2
dropwizard/metrics,743,3,309,353,6,6,0,6
dropwizard/metrics,755,1,257,292,4,3,1,2
dropwizard/metrics,779,13,233,252,76,42,1,41
dropwizard/metrics,785,2,45,98,26,4,1,3
dropwizard/metrics,79,5,405,902,20,19,1,18
dropwizard/metrics,80,1,119,339,1,1,0,1
dropwizard/metrics,803,1,251,286,1,1,0,1
dropwizard/metrics,808,2,56,92,6,4,1,3
dropwizard/metrics,815,9,249,588,92,21,3,18
dropwizard/metrics,823,4,69,111,7,6,1,5
dropwizard/metrics,87,2,115,105,6,5,1,4
dropwizard/metrics,88,1,7,6,4,2,1,1
dropwizard/metrics,94,3,227,224,10,6,1,5
dropwizard/metrics,96,1,25,43,2,1,1,0
dropwizard/metrics,255,2,233,397,12,3,1,2
dropwizard/metrics,257,2,61,89,6,2,1,1
dropwizard/metrics,268,1,83,86,1,1,0,1
dropwizard/metrics,283,10,125,197,36,22,1,21
dropwizard/metrics,296,1,146,152,8,3,1,2
dropwizard/metrics,303,1,4,0,1,1,0,1
dropwizard/metrics,307,2,68,158,7,2,2,0
dropwizard/metrics,309,1,23,45,5,4,0,4
dropwizard/metrics,319,1,82,121,0,0,0,0
dropwizard/metrics,32,1,76,256,17,2,1,1
dropwizard/metrics,323,1,20,30,9,2,1,1
dropwizard/metrics,35,2,136,153,19,3,1,2
dropwizard/metrics,36,1,76,256,1,1,0,1
dropwizard/metrics,376,2,111,164,13,7,1,6
dropwizard/metrics,393,13,264,348,56,33,2,31
dropwizard/metrics,402,1,238,278,19,5,3,2
dropwizard/metrics,409,2,12,6,9,8,1,7
dropwizard/metrics,411,4,117,147,47,17,2,15
dropwizard/metrics,416,3,18,8,3,3,0,3
dropwizard/metrics,430,2,286,334,8,8,0,8
dropwizard/metrics,437,1,47,83,1,1,0,1
dropwizard/metrics,445,1,55,131,0,0,0,0
dropwizard/metrics,447,2,69,110,16,3,1,2
dropwizard/metrics,467,3,54,77,22,7,1,6
dropwizard/metrics,468,1,38,53,1,1,0,1
dropwizard/metrics,47,1,97,329,2,1,0,1
dropwizard/metrics,470,1,87,130,7,3,2,1
dropwizard/metrics,487,3,402,445,26,14,5,9
elastic/elasticsearch,12074,6,151,294,6,6,0,6
elastic/elasticsearch,5869,14,730,1307,16,11,1,10
elastic/elasticsearch,796,1,171,457,1,1,0,1
elastic/elasticsearch,10286,7,594,1322,43,5,2,3
elastic/elasticsearch,10374,2,82,118,31,12,1,11
elastic/elasticsearch,10463,1,324,629,7,4,1,3
elastic/elasticsearch,10702,2,44,92,2,2,0,2
elastic/elasticsearch,10712,4,159,208,45,11,4,7
elastic/elasticsearch,10779,3,68,147,9,3,1,2
elastic/elasticsearch,10814,6,563,1731,23,19,0,19
elastic/elasticsearch,10969,2,24,41,9,6,1,5
elastic/elasticsearch,10993,1,338,763,2,1,0,1
elastic/elasticsearch,11067,2,269,991,21,12,0,12
elastic/elasticsearch,11109,1,8,12,1,1,0,1
elastic/elasticsearch,11180,4,301,379,35,11,1,10
elastic/elasticsearch,11191,16,424,849,110,76,3,73
elastic/elasticsearch,11339,13,1026,3441,95,19,3,16
elastic/elasticsearch,11380,3,151,439,11,8,1,7
elastic/elasticsearch,11610,1,202,407,1,1,0,1
elastic/elasticsearch,11696,3,106,316,13,7,1,6
elastic/elasticsearch,11835,2,115,303,5,3,1,2
elastic/elasticsearch,11928,1,10,17,1,1,0,1
elastic/elasticsearch,11949,5,84,118,19,9,2,7
elastic/elasticsearch,12054,13,386,859,4,3,1,2
elastic/elasticsearch,12057,5,1205,1607,33,7,1,6
elastic/elasticsearch,12073,3,56,86,28,7,1,6
elastic/elasticsearch,5873,4,319,448,9,7,1,6
elastic/elasticsearch,5900,2,95,215,7,4,1,3
elastic/elasticsearch,6021,2,47,235,2,2,0,2
elastic/elasticsearch,6127,4,560,1207,8,5,1,4
elastic/elasticsearch,6151,2,346,1132,4,4,0,4
elastic/elasticsearch,6238,2,89,119,5,3,1,2
elastic/elasticsearch,6406,3,88,278,15,6,1,5
elastic/elasticsearch,6864,8,288,302,30,14,4,10
elastic/elasticsearch,6916,1,8,23,1,1,0,1
elastic/elasticsearch,6971,1,266,597,4,2,0,2
elastic/elasticsearch,7167,7,806,1706,16,3,1,2
elastic/elasticsearch,7207,2,125,41,4,4,0,4
elastic/elasticsearch,7212,1,423,802,3,2,0,2
elastic/elasticsearch,7414,8,737,1529,17,4,1,3
elastic/elasticsearch,7468,1,34,46,1,1,0,1
elastic/elasticsearch,7529,3,337,1023,35,13,2,11
elastic/elasticsearch,7590,2,145,298,15,4,1,3
elastic/elasticsearch,7637,1,126,228,8,3,2,1
elastic/elasticsearch,7661,2,21,18,4,3,1,2
elastic/elasticsearch,7796,2,276,536,9,2,1,1
elastic/elasticsearch,7852,1,75,136,2,2,0,2
elastic/elasticsearch,7853,6,113,189,20,14,2,12
elastic/elasticsearch,7885,1,38,186,2,2,0,2
elastic/elasticsearch,12076,1,45,61,11,7,1,6
elastic/elasticsearch,1268,2,67,149,6,3,1,2
elastic/elasticsearch,1381,1,53,146,3,1,0,1
elastic/elasticsearch,1692,1,16,19,1,1,0,1
elastic/elasticsearch,2129,3,47,63,14,5,2,3
elastic/elasticsearch,2276,4,148,374,14,6,2,4
elastic/elasticsearch,2338,5,141,296,22,11,3,8
elastic/elasticsearch,2469,1,64,165,1,1,0,1
elastic/elasticsearch,2891,5,209,515,30,18,4,14
elastic/elasticsearch,3065,2,835,1515,4,4,0,4
elastic/elasticsearch,3227,5,319,413,23,16,1,15
elastic/elasticsearch,3433,23,1883,4267,63,4,1,3
elastic/elasticsearch,3449,1,50,106,1,1,0,1
elastic/elasticsearch,3525,1,130,206,1,1,0,1
elastic/elasticsearch,3552,6,502,1287,76,18,4,14
elastic/elasticsearch,3869,2,123,630,5,3,0,3
elastic/elasticsearch,3976,6,76,98,32,18,3,15
elastic/elasticsearch,4161,22,795,1979,198,72,4,68
elastic/elasticsearch,4183,1,130,352,8,5,2,3
elastic/elasticsearch,4193,1,20,20,10,6,1,5
elastic/elasticsearch,4234,2,136,252,6,5,1,4
elastic/elasticsearch,4666,3,243,405,14,5,1,4
