url,projectName,pullRequestId,sourceFiles,defs,uses,diffs,totalPartitions,nonTrivialPartitions,trivialPartitions,merged,markedAsMerged,reasonForRejection
https://github.com/netty/netty/pull/3729,netty/netty,3729,3,389,867,4,3,0,3,true,false,
https://github.com/spring-projects/spring-framework/pull/773,spring-projects/spring-framework,773,1,67,220,1,1,0,1,false,false,Core dev made a better fix
https://github.com/libgdx/libgdx/pull/3051,libgdx/libgdx,3051,1,61,134,3,1,1,0,true,true,
https://github.com/dropwizard/dropwizard/pull/537,dropwizard/dropwizard,537,1,50,76,2,1,0,1,true,true,
https://github.com/junit-team/junit/pull/178,junit-team/junit,178,1,63,17,0,0,0,0,true,true,
https://github.com/square/okhttp/pull/752,square/okhttp,752,7,1142,4238,11,3,2,1,true,true,
https://github.com/junit-team/junit/pull/798,junit-team/junit,798,2,33,56,0,0,0,0,true,true,
https://github.com/elastic/elasticsearch/pull/11067,elastic/elasticsearch,11067,2,274,1012,17,8,0,8,true,false,
https://github.com/dropwizard/metrics/pull/87,dropwizard/metrics,87,2,121,138,5,3,1,2,false,false,Was already fixed
https://github.com/junit-team/junit/pull/720,junit-team/junit,720,2,107,134,13,10,1,9,true,true,
https://github.com/libgdx/libgdx/pull/161,libgdx/libgdx,161,1,134,443,1,1,0,1,true,true,
https://github.com/facebook/presto/pull/2742,facebook/presto,2742,2,265,801,2,2,0,2,true,true,
https://github.com/netty/netty/pull/3742,netty/netty,3742,1,73,133,6,1,1,0,true,false,
https://github.com/junit-team/junit/pull/1037,junit-team/junit,1037,2,149,200,16,9,3,6,true,false,
https://github.com/dropwizard/metrics/pull/393,dropwizard/metrics,393,13,264,366,37,16,1,15,false,false,Project specific technical reasons
https://github.com/facebook/presto/pull/1655,facebook/presto,1655,1,85,293,1,1,0,1,true,false,
https://github.com/dropwizard/metrics/pull/139,dropwizard/metrics,139,1,44,86,3,1,0,1,true,true,
https://github.com/libgdx/libgdx/pull/2255,libgdx/libgdx,2255,1,132,344,8,2,0,2,true,true,
https://github.com/facebook/presto/pull/3063,facebook/presto,3063,2,19,30,3,2,1,1,true,false,
https://github.com/netty/netty/pull/2700,netty/netty,2700,4,61,98,28,11,1,10,true,false,
https://github.com/spring-projects/spring-boot/pull/71,spring-projects/spring-boot,71,4,40,38,24,14,3,11,false,false,"There is no discussion. But, we found that the author created another pull request shortly after (#73) with only 2 commits out of the 8 inside this pull request and this new pull request was merged."
https://github.com/facebook/presto/pull/303,facebook/presto,303,6,194,379,52,12,2,10,true,true,
https://github.com/libgdx/libgdx/pull/2852,libgdx/libgdx,2852,3,464,2548,160,2,1,1,true,true,
https://github.com/junit-team/junit/pull/256,junit-team/junit,256,3,111,111,40,32,1,31,true,true,
https://github.com/junit-team/junit/pull/994,junit-team/junit,994,9,257,366,56,7,7,0,true,true,
https://github.com/dropwizard/metrics/pull/228,dropwizard/metrics,228,2,54,83,10,2,2,0,true,true,
https://github.com/junit-team/junit/pull/1111,junit-team/junit,1111,1,45,41,1,1,0,1,false,false,"There are 2 tiny but independent changes in this PR. Since one of these changes was done to an XML file, ccjava doesn't detect it. The dev asked the contributor to split the changes into 2 commits."
https://github.com/netty/netty/pull/3493,netty/netty,3493,2,46,125,11,2,1,1,true,false,
https://github.com/facebook/presto/pull/2623,facebook/presto,2623,1,119,188,12,7,1,6,true,true,
https://github.com/spring-projects/spring-framework/pull/116,spring-projects/spring-framework,116,4,270,663,6,3,1,2,true,false,
https://github.com/dropwizard/dropwizard/pull/759,dropwizard/dropwizard,759,3,130,216,6,1,1,0,true,true,
https://github.com/dropwizard/dropwizard/pull/200,dropwizard/dropwizard,200,2,76,239,7,1,1,0,true,true,
https://github.com/junit-team/junit/pull/435,junit-team/junit,435,1,28,14,0,0,0,0,true,true,
https://github.com/elastic/elasticsearch/pull/5449,elastic/elasticsearch,5449,2,254,599,4,2,1,1,true,true,
https://github.com/netty/netty/pull/96,netty/netty,96,5,258,944,11,7,1,6,true,false,
https://github.com/junit-team/junit/pull/1015,junit-team/junit,1015,3,296,338,25,16,3,13,true,true,
https://github.com/spring-projects/spring-boot/pull/3296,spring-projects/spring-boot,3296,9,1053,1872,36,5,2,3,true,false,
https://github.com/spring-projects/spring-framework/pull/180,spring-projects/spring-framework,180,2,28,0,2,2,0,2,true,false,
https://github.com/dropwizard/metrics/pull/14,dropwizard/metrics,14,1,9,11,2,1,1,0,true,true,
https://github.com/facebook/presto/pull/2175,facebook/presto,2175,3,292,661,41,3,1,2,true,true,
https://github.com/dropwizard/dropwizard/pull/663,dropwizard/dropwizard,663,1,20,22,2,1,1,0,true,true,
https://github.com/spring-projects/spring-framework/pull/502,spring-projects/spring-framework,502,1,22,32,0,0,0,0,false,false,Core dev made a better fix
https://github.com/junit-team/junit/pull/282,junit-team/junit,282,5,258,320,22,1,1,0,true,true,
https://github.com/elastic/elasticsearch/pull/4183,elastic/elasticsearch,4183,1,130,363,6,3,2,1,true,false,
https://github.com/facebook/presto/pull/2268,facebook/presto,2268,7,116,200,24,7,4,3,true,true,
https://github.com/dropwizard/metrics/pull/57,dropwizard/metrics,57,1,91,179,3,1,0,1,false,false,Project specific technical reasons
https://github.com/square/okhttp/pull/977,square/okhttp,977,16,1461,3772,79,11,2,9,true,true,
https://github.com/spring-projects/spring-framework/pull/627,spring-projects/spring-framework,627,2,357,702,6,1,1,0,false,false,Core dev made a better fix
https://github.com/dropwizard/metrics/pull/112,dropwizard/metrics,112,1,135,160,3,1,1,0,true,false,
https://github.com/elastic/elasticsearch/pull/8527,elastic/elasticsearch,8527,4,78,173,5,4,0,4,true,false,
https://github.com/libgdx/libgdx/pull/2000,libgdx/libgdx,2000,1,226,397,3,2,1,1,true,true,
https://github.com/facebook/presto/pull/2825,facebook/presto,2825,5,172,347,31,6,1,5,true,false,
https://github.com/spring-projects/spring-boot/pull/478,spring-projects/spring-boot,478,1,15,13,1,1,0,1,false,false,Closed by contributor on the same day without providing a reason.
https://github.com/square/okhttp/pull/712,square/okhttp,712,3,595,1631,15,2,1,1,true,true,
